Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
0.146,234.55,7,0,0,0,1003739
0.06,237.45,2.8,0,0,0,1005179
0.056,238.57,4.4,0,0,0,1006619
0.06,236.28,17,0,0,17,1008059
0.22,236.23,18.2,38,0,0,1009499
0.088,237.84,1.2,0,0,0,1010939
0.064,237.73,4.6,0,0,0,1012379
0.168,237.11,6.2,0,1,0,1013819
0,235.96,5,0,0,0,1015259
0.142,239.63,4,0,2,0,1016699
0.048,233.36,3.8,0,0,0,1018139
0.18,232.06,25.6,0,19,16,1019579
0.07,240.04,7.4,0,0,0,1021019
0.16,239.1,7.4,0,0,0,1022459
0.17,240.54,1.6,0,0,0,1023899
0.07,241.59,4.2,0,0,0,1025339
0.058,242.63,6.2,0,0,0,1026779
0.056,238.36,6.2,0,0,18,1028219
0.052,237.17,12.6,0,0,17,1029659
0.07,241.38,6.4,0,0,0,1031099
0.252,243.01,6.2,0,1,0,1032539
0,242.38,14.4,0,0,18,1033979
0,241.05,7.6,0,0,0,1035419
0.142,240.98,13.4,0,2,18,1036859
0.098,238.1,10.8,0,0,0,1038299
0,235.59,11.2,0,0,17,1039739
0.186,240.11,5,0,1,0,1041179
0.05,240.39,6.2,0,2,0,1042619
0.364,242.48,9.6,0,3,0,1044059
0,239.82,5.6,0,0,0,1045499
0.078,238.67,10.4,0,0,18,1046939
0.08,236.64,5.4,0,0,0,1048379
